lst,epoch,total_staked,daily_stake,daily_unstake,daily_net,tvl_sol
jito,758,16639149.4577576,-13815.226639645,137115.879011289,123300.652371644,16639615.1036451
mSOL Liquid,758,4585063.37061494,-25967.15092269,251896.225923321,225929.075000631,4585181.86525371
mSOL Native,758,4240992.50317162,-75708.958799823,142649.698106378,66940.739306555,4250542.34924623
bSOL,758,1102609.81852042,-15010.132512775,12370.085870037,-2640.046642738,1102640.62462252
jSOL,758,1100160.32505373,-49.291170619,56242.644000723,56193.352830104,1100190.0883688
mrgnLST,758,167685.709981059,0.0,66.937469594,66.937469594,167688.023921067
stSOL,758,40474.439647039,0.0,15.688956736,15.688956736,40873.701190979
scnSOL,758,3.432236096,0.0,0.001366694,0.001366694,37.772178308
jito,757,16515848.8064562,-14511.445275807,22254.997312769,7743.552036962,16516514.3237769
mSOL Liquid,757,4573620.07121144,-64183.932598719,251116.017122762,186932.084524043,4573846.08465711
mSOL Native,757,4263153.15835583,-88354.771469101,176072.166580989,87717.395111888,4272974.73661774
bSOL,757,1105249.86623968,-12566.581144897,5580.571595244,-6986.009549653,1105290.91148809
jSOL,757,1050124.407747,-56856.068137645,12952.817571073,-43903.250566572,1050166.28447038
mrgnLST,757,167618.77354029,0.0,67.526065426,67.526065426,167621.197192741
stSOL,757,40458.750690303,-135.915752779,11.994784202,-123.920968577,40857.50432114
scnSOL,757,3.430869402,0.0,0.001380261,0.001380261,37.770759254
jito,756,16508105.2564229,-33878.298497675,18945.669060484,-14932.629437191,16508238.0737591
mSOL Liquid,756,4574321.91598005,-55374.458765384,3212.133885191,-52162.324880193,4574613.50291522
mSOL Native,756,4338658.09815533,-70363.130572022,234643.063658856,164279.933086834,4348704.56680937
bSOL,756,1112235.87779132,-5082.213871224,29957.263719452,24875.049848228,1112273.62551172
jSOL,756,1097453.28705128,-23.109058751,2728.83259343,2705.723534679,1097494.56712375
mrgnLST,756,167551.247474864,-2762.731219094,8.088428606,-2754.642790488,167553.228502598
stSOL,756,40582.67165888,0.0,15.891015787,15.891015787,40980.266535738
scnSOL,756,3.429489141,0.0,0.001378827,0.001378827,37.769331923
jito,755,16523037.889148,-71269.814531635,172932.060535863,101662.246004228,16523270.6527489
mSOL Liquid,755,4810787.89619973,-39596.149711127,65976.537477905,26380.387766778,4811109.18896862
mSOL Native,755,4218309.50747442,-16089.268988717,101428.527011648,85339.258022931,4228875.64416602
jSOL,755,1096931.10931151,-0.173185946,58418.104085095,58417.930899149,1096979.34693565
bSOL,755,1087360.83124117,-35511.261440425,393.768580983,-35117.492859442,1087414.88835385
mrgnLST,755,170305.893571152,-3027.739108839,8.011693145,-3019.727415694,170308.355669814
stSOL,755,40566.780643093,-113.716837649,11.806339075,-101.910498574,40963.266372841
scnSOL,755,3.428110314,0.0,0.001369337,0.001369337,37.767914902
jito,754,16421375.6421373,-95955.136719024,24717.952846738,-71237.183872286,16421883.3626505
