dt,total_staked,daily_stake,daily_unstake
2022-04-03 00:00:00+00:00,2402.0,0.0,0.0
2022-04-05 00:00:00+00:00,7915656.28488008,1330353.38227792,0.0
2022-04-07 00:00:00+00:00,10457411.5915083,2515936.95888481,0.0
2022-04-09 00:00:00+00:00,21340356.049935,8285339.67527117,0.0
2022-04-11 00:00:00+00:00,23365154.6633094,496642.070449714,0.0
2022-04-13 00:00:00+00:00,24392728.2173061,1023364.34424043,0.0
2022-04-15 00:00:00+00:00,24436750.9126874,20998.094465313,0.0
2022-04-17 00:00:00+00:00,24901623.2905299,448743.919270956,0.0
2022-04-19 00:00:00+00:00,26106565.6393391,1011289.48487648,0.0
2022-04-21 00:00:00+00:00,26675968.7157089,488822.432801393,0.0
2022-04-23 00:00:00+00:00,26760325.6393059,6854.910382635,0.0
2022-04-25 00:00:00+00:00,26782094.7623132,11726.790931247,0.0
2022-04-27 00:00:00+00:00,27372302.1106064,430970.254465863,0.0
2022-04-29 00:00:00+00:00,27413597.1400527,38217.59700174,0.0
2022-05-01 00:00:00+00:00,27418715.7284365,1094.588383801,0.0
2022-05-03 00:00:00+00:00,27496591.2573884,19539.075500459,0.0
2022-05-05 00:00:00+00:00,27908227.3687217,499401.855185412,-61027.405163429
2022-05-07 00:00:00+00:00,27582102.6585164,500316.187610122,-111000.00000145
2022-05-09 00:00:00+00:00,27987067.4083488,422604.76365453,-47667.044192337
2022-05-11 00:00:00+00:00,30622224.6920248,2536389.07220615,0.0
2022-05-13 00:00:00+00:00,30570086.851171,16447.741165514,-7000.0
2022-05-15 00:00:00+00:00,30597164.9914847,14287.122743084,-2298.516291752
2022-05-17 00:00:00+00:00,31125519.2187735,124629.460178423,-58853.813596712
2022-05-19 00:00:00+00:00,34047511.7524893,388303.030938663,-570393.084531279
2022-05-21 00:00:00+00:00,34146553.8964161,63734.726217901,-8004.744418584
2022-05-23 00:00:00+00:00,34243308.6480785,119039.834044975,-39698.257757114
2022-05-25 00:00:00+00:00,34220586.7018208,1096.358457559,-2000.0
2022-05-27 00:00:00+00:00,34263022.0481929,18010.24154,-1000.0
2022-05-29 00:00:00+00:00,34277983.1377266,32609.16326015,-15636.912319502
2022-05-31 00:00:00+00:00,34281046.7866474,1014.962102297,-26511.464632918
2022-06-02 00:00:00+00:00,34288559.3524087,106604.584338714,-136000.0
2022-06-04 00:00:00+00:00,34237101.6299088,33271.857986874,-8815.657211705
2022-06-06 00:00:00+00:00,34467496.813046,9000.1,-12088.310485969
2022-06-08 00:00:00+00:00,34510588.0065015,11001.077882706,-78040.151811884
2022-06-10 00:00:00+00:00,40675891.0147135,1404178.62968608,-87143.941886646
2022-06-12 00:00:00+00:00,40768463.316779,115011.392094557,-10273.633661201
2022-06-14 00:00:00+00:00,40671007.5188418,7355.589881403,-105000.0
2022-06-16 00:00:00+00:00,40774255.7088204,54366.85762846,-12070.49855314
2022-06-18 00:00:00+00:00,40948888.8434949,45856.047376525,-10000.0
2022-06-20 00:00:00+00:00,41051336.2531348,25607.616370503,-5021.501941459
2022-06-22 00:00:00+00:00,41080665.8106889,8299.08834619,-7449.338464273
2022-06-24 00:00:00+00:00,41281521.4304718,360582.455585224,-26000.0
2022-06-26 00:00:00+00:00,41449031.5077645,102194.401814828,-12000.0
2022-06-28 00:00:00+00:00,41510043.6741356,63995.894884187,-10000.0
2022-06-30 00:00:00+00:00,50506232.2434403,8858847.98115011,-15063.745996808
2022-07-02 00:00:00+00:00,51040118.8334968,10695.238142621,0.0
2022-07-04 00:00:00+00:00,51230082.2062042,7625.219787025,-5000.0
2022-07-06 00:00:00+00:00,51536826.9086835,48287.650185517,0.0
2022-07-08 00:00:00+00:00,69335057.4507014,468495.149724081,-1000.0
2022-07-10 00:00:00+00:00,71871564.1521233,2539895.47389241,-47208.477059985
2022-07-12 00:00:00+00:00,72084844.9955327,145899.481671916,-3009.194134786
2022-07-14 00:00:00+00:00,72603147.6471704,11709.973562414,-2000.0
2022-07-16 00:00:00+00:00,72837251.7494045,13030.79693848,0.0
2022-07-18 00:00:00+00:00,72903322.8673233,47155.772656425,-3000.0
2022-07-20 00:00:00+00:00,72877238.6477948,6578.679816994,-39225.094041985
2022-07-22 00:00:00+00:00,74173347.8548943,1241761.096245,-15390.945364732
2022-07-24 00:00:00+00:00,74312838.348682,172617.35332142,-36258.551655558
2022-07-26 00:00:00+00:00,74324702.7826682,4560.52344477,0.0
2022-07-28 00:00:00+00:00,74728710.8296405,38602.840072105,0.0
2022-07-30 00:00:00+00:00,76782053.0366291,51029.291655163,-6000.0
2022-08-01 00:00:00+00:00,76781926.8811907,44976.727307742,-56487.876879324
2022-08-03 00:00:00+00:00,76757825.5522643,19689.167338488,-7152.912219884
2022-08-05 00:00:00+00:00,81238385.1204109,33538.42154112,-1000.0
2022-08-07 00:00:00+00:00,81326501.37305,22434.843005664,-11000.0
2022-08-09 00:00:00+00:00,81190809.3589407,9622.092948109,-102011.009748288
2022-08-11 00:00:00+00:00,82135980.3728869,903004.150374653,-3000.0
2022-08-13 00:00:00+00:00,82571038.3000351,241133.386459294,-8620.671234356
2022-08-15 00:00:00+00:00,87291013.6932821,4453738.82263707,0.0
2022-08-17 00:00:00+00:00,90657022.7014681,3334601.62340621,0.0
2022-08-19 00:00:00+00:00,90836135.4818393,203717.553863304,-20188.805287112
2022-08-21 00:00:00+00:00,90841629.9491084,5053.497999358,-2000.0
2022-08-23 00:00:00+00:00,90895658.7826391,36232.443833943,0.0
2022-08-25 00:00:00+00:00,90966730.7568911,3382.797132683,-2000.0
2022-08-27 00:00:00+00:00,90922306.8124002,2016.349456335,0.0
2022-08-29 00:00:00+00:00,90982417.0141331,64067.739749081,-5547.835717856
2022-08-31 00:00:00+00:00,91118904.0728286,129803.933850025,0.0
2022-09-02 00:00:00+00:00,91556684.9498937,298507.404562906,-12053.224292274
2022-09-04 00:00:00+00:00,91828623.5347579,55679.981008505,-17403.45154013
2022-09-06 00:00:00+00:00,92188487.2502794,360555.984337336,-4000.0
2022-09-08 00:00:00+00:00,92067088.97801,98895.088035358,-215456.303134865
2022-09-10 00:00:00+00:00,97204230.1845658,35094.078855218,-18500.0
2022-09-12 00:00:00+00:00,98458578.3096241,38081.508894277,-158082.065471358
2022-09-14 00:00:00+00:00,99328154.4538036,135993.168305895,-2011.0
2022-09-16 00:00:00+00:00,101640111.097126,411641.500502273,-5464.956902713
2022-09-18 00:00:00+00:00,101761450.349544,1046.095548271,0.0
2022-09-20 00:00:00+00:00,101870375.463309,194738.504508988,-88378.639577651
2022-09-22 00:00:00+00:00,101952436.468193,137890.793805744,-83332.0
2022-09-24 00:00:00+00:00,104329449.533043,5267.055595508,-12680.335181178
2022-09-26 00:00:00+00:00,104372855.459748,1391.488919618,-25000.0
2022-09-28 00:00:00+00:00,104470909.095872,39036.517500644,-8094.170205821
2022-09-30 00:00:00+00:00,104526055.983874,69674.881232889,-10607.058386264
2022-10-02 00:00:00+00:00,104559680.81888,2625.336518934,-12500.0
2022-10-04 00:00:00+00:00,104686379.12547,55324.386790414,-4178.513969107
2022-10-06 00:00:00+00:00,104696728.679043,2.33556915,0.0
2022-10-08 00:00:00+00:00,104830313.661634,18277.969730236,-16000.0
2022-10-10 00:00:00+00:00,109158582.52178,4346090.58171068,-19000.0
2022-10-12 00:00:00+00:00,108833557.889876,8335.150807651,-407004.179120011
2022-10-14 00:00:00+00:00,108919823.10668,85306.801653504,-10000.582427369
2022-10-16 00:00:00+00:00,108888287.651703,40842.938881082,-70786.439487845
